FlyBaseID,GeneType,GeneLength (5'-3'intron included),Isoform Number,Exon Number,AverageExon Length,Average Intron Length,Average5UTR Length,Average3UTR Length,Average CDS Length,GC Content,Purine Content,CodonUsageBias ,stAI,EP1,ESI1,EP2,ESI2,EP3,ESI3,EP4,ESI4
FBgn0053284,de novo,1132,1,1,1132,0,562,222,345,0.505747126,0.591954023,0.173657,0.3379,11.33794872,0.998131137,25.34482759,0.96925859,500,0.849924585,535,0.874062969
FBgn0051882,de novo,834,1,1,834,0,62,406,363,0.510928962,0.524590164,0.145164,0.3378,5.573333333,0.998349232,8.551724138,0.984516928,122,0.745192308,296,0.864367816
FBgn0051677,de novo,662,1,1,662,0,96,89,474,0.450733753,0.570230608,0.19777,0.3295,1.030512821,0.987231104,0.620689655,0.977272727,27,0.865384615,29,0.867816092
FBgn0051415,de novo,1146,1,2,360,426,66.5,113,471,0.607594937,0.561181435,0.208173,0.4002,7.214871795,0.998832819,9.137931034,0.983996877,175,0.870192308,400,0.868300789
FBgn0051088,de novo,743,1,3,209.3333333,57.5,179,57,210,0.450704225,0.464788732,0.216591,0.3204,2.394871795,0.993760892,4.344827586,0.939969605,83,0.639423077,137,0.80952381
FBgn0050114,de novo,1224,1,1,1224,0,152,724,345,0.511494253,0.540229885,0.317329,0.3861,0.01,0.99092559,0.068965517,0.964285714,2,1,0,0.877841358
FBgn0040737,de novo,177,1,1,177,0,0,0,174,0.536723164,0.661016949,0.442607,0.3766,0.007692308,1,0,0.956997904,11,0.978021978,0,0.877841358
FBgn0053062,de novo,4726,2,5,256.4,1264.333333,169.6666667,157,372,0.512,0.44,0.218212,0.3113,0.372307692,0.933119384,2.793103448,0.829081633,65,0.538461538,131,0.796733212
FBgn0086782,de novo,3953,1,1,3953,0,2568,842,540,0.55985267,0.451197053,0.176183,0.3227,1.635128205,0.598214286,0,0.956997904,2,1,0,0.877841358
FBgn0262576,de novo,1118,1,2,448.5,221,104,295,495,0.574297189,0.479919679,0.183447,0.335,0.037692308,0.784539474,0,0.956997904,4,0.987179487,18,0.910344828
FBgn0262875,de novo,939,1,3,266.3333333,70,70.5,487,168,0.461988304,0.538011696,0.218022,0.2443,0.123333333,0.991636626,0.24137931,0.952380952,3,0.980769231,9,0.879310345
FBgn0262890,de novo,1475,2,5,340.4,128.3333333,431,330,198,0.507462687,0.577114428,0.290412,0.3853,0.035128205,0.882105263,0.655172414,0.866071429,5,0.942307692,12,0.896551724
FBgn0262893,de novo,1389,2,3,282,493,108,220,259.5,0.426229508,0.478142077,0.191869,0.4163,0.577692308,0.945759439,0.379310345,0.979591837,9,0.865384615,1,1
FBgn0262960,de novo,659,4,5,289.4,149.6666667,120.6,123,117,0.433333333,0.6,0.346207,0.4191,3.14,0.99876251,1.517241379,0.972857143,19,0.947115385,13,0.885057471
FBgn0262988,de novo,531,1,2,222.5,86,0,97,345,0.49137931,0.554597701,0.200164,0.2958,1.132051282,0.998420421,1.482758621,0.958928571,51,0.711538462,65,0.810344828
FBgn0263320,de novo,686,2,2,597,0,194,223,177,0.455555556,0.472222222,0.252999,0.3048,2.306153846,0.99911696,0.724137931,0.978021978,20,0.782051282,38,0.84729064
FBgn0263326,de novo,488,2,2,428,0,92,204,129,0.598484848,0.651515152,0.276998,0.3117,2.447692308,0.998419007,2.103448276,0.997493734,6,0.923076923,20,0.948275862
FBgn0263399,de novo,670,1,2,299,72,269,134,192,0.523076923,0.553846154,0.231028,0.2928,0.093846154,0.936301033,0.068965517,0.964285714,2,1,2,0.965517241
FBgn0264362,de novo,857,1,2,392.5,72,111,280,111,0.421052632,0.359649123,0.249766,0.2417,0.075384615,0.993252362,0.24137931,0.973214286,1,1,0,0.877841358
FBgn0264516,de novo,886,1,1,886,0,152,416,315,0.512578616,0.449685535,0.213172,0.3976,0.270769231,0.999017682,1,0.978174603,25,0.878205128,24,0.827586207
FBgn0264546,de novo,466,1,3,104.6666667,76,25,0,261,0.488636364,0.526515152,0.247097,0.3423,0.165128205,0.896946565,0,0.956997904,5,0.974358974,8,0.896551724
